Temperature,Conductivity,PH,Turbidity,ODO,BGA
17.91,1874,8.37,52.14,7.71,0
17.9,1867,8.36,51.24,7.66,0
17.85,1858,8.36,49.08,7.64,0
17.82,1851,8.36,48.15,7.63,0
17.82,1840,8.36,49.68,7.6,0
17.81,1828,8.35,46,7.56,0
17.74,1792,8.35,46.57,7.49,0
17.69,1776,8.34,50,7.45,0
17.63,1755,8.34,46.22,7.42,0
17.54,1728,8.34,50.88,7.41,0
17.46,1708,8.33,50.18,7.39,0
17.43,1692,8.33,53.39,7.37,0
17.4,1689,8.33,50.35,7.36,0
17.37,1686,8.33,52.37,7.37,0
17.34,1686,8.33,52.67,7.36,0
17.32,1686,8.33,53.68,7.35,0
17.27,1684,8.33,53.25,7.35,0
17.25,1683,8.34,54.01,7.36,0
17.22,1687,8.34,50.71,7.38,0
17.21,1691,8.34,49.23,7.39,0
17.22,1692,8.34,48.87,7.38,0
17.22,1695,8.34,48.7,7.39,0
17.2,1693,8.34,46.53,7.39,0
17.21,1691,8.34,46.66,7.38,0
17.21,1694,8.35,43.78,7.41,0
17.22,1695,8.34,45,7.39,0
17.22,1690,8.34,44.3,7.39,0
17.22,1687,8.34,45.09,7.39,0
17.22,1684,8.34,43.29,7.42,0
17.24,1682,8.34,42.88,7.41,0
17.28,1680,8.35,41.72,7.46,0
17.3,1679,8.35,41.99,7.45,0
17.38,1679,8.35,40.17,7.48,0
17.41,1678,8.35,39.82,7.49,0
17.45,1676,8.35,39.16,7.5,0
17.51,1675,8.35,38.5,7.5,0
17.57,1678,8.35,38.02,7.51,0
17.6,1686,8.35,37.39,7.49,0
17.58,1688,8.35,37.27,7.49,0
17.58,1691,8.35,36.5,7.5,0
17.61,1697,8.35,35.4,7.52,0
17.46,1683,8.35,34.78,7.47,0
17.63,1695,8.35,33.05,7.47,0
17.81,1712,8.36,31.82,7.52,0
18.15,1753,8.37,31.56,7.63,0
18.59,1835,8.38,30.52,7.8,0
18.73,1860,8.38,28.85,7.84,0
18.65,1836,8.38,29.05,7.81,0
18.96,1909,8.38,28.04,7.95,0
19.18,1917,8.38,27.99,7.93,0
19.09,1923,8.37,27.11,7.9,0
19.25,1929,8.37,26.38,7.91,0
18.95,1895,8.37,26.27,7.81,0
18.91,1885,8.37,25.47,7.79,0
18.86,1879,8.36,25.81,7.76,0
18.87,1876,8.36,26.34,7.75,0
18.8,1869,8.36,26.88,7.72,0
18.82,1865,8.36,26.51,7.73,0
18.82,1862,8.36,26.7,7.73,0
18.81,1861,8.36,28.03,7.72,0
18.82,1860,8.36,29.41,7.72,0
18.84,1861,8.36,30.43,7.72,0
18.84,1862,8.36,33.42,7.73,0
18.84,1865,8.36,39.23,7.72,0
18.83,1866,8.36,43.66,7.72,0
18.82,1866,8.36,46.85,7.73,0
18.82,1868,8.36,47.92,7.74,0
18.82,1867,8.36,58.77,7.73,0
18.81,1867,8.36,55.66,7.73,0
18.79,1866,8.37,55.89,7.74,0
18.79,1866,8.37,62.2,7.74,0
18.75,1866,8.37,63.69,7.74,0
18.75,1869,8.37,70.22,7.74,0
18.73,1868,8.37,68.97,7.73,0
18.71,1868,8.37,66.88,7.73,0
18.69,1868,8.37,68.85,7.73,0
18.67,1865,8.37,66.43,7.74,0
18.63,1858,8.37,62.23,7.73,0
18.59,1847,8.37,65.61,7.71,0
18.55,1843,8.37,58.55,7.7,0
18.51,1838,8.37,56.81,7.68,0
18.5,1834,8.36,56.57,7.67,0
18.48,1834,8.37,52.83,7.66,0
18.45,1832,8.37,50.3,7.65,0
18.41,1827,8.37,49.3,7.64,0
18.36,1819,8.36,48.53,7.62,0
18.3,1809,8.36,45.31,7.6,0
18.27,1800,8.36,45.09,7.57,0
18.22,1794,8.36,43.86,7.56,0
18.16,1787,8.36,40.95,7.56,0
18.13,1779,8.36,42.54,7.53,0
18.1,1772,8.35,41.55,7.51,0
18.07,1767,8.35,39.88,7.51,0
18.07,1768,8.35,38.83,7.49,0
18.07,1767,8.35,38.22,7.47,0
18.04,1765,8.35,37.91,7.45,0
18.02,1763,8.35,37.38,7.45,0
18.02,1765,8.35,37.43,7.44,0
17.97,1766,8.35,35.25,7.45,0
17.97,1766,8.35,35.8,7.44,0
17.96,1766,8.35,33.5,7.43,0
17.93,1763,8.35,33.79,7.43,0
17.89,1759,8.35,34.9,7.43,0
17.86,1750,8.35,35.45,7.39,0
17.83,1742,8.34,32.36,7.37,0
17.81,1736,8.34,33.52,7.35,0
17.75,1730,8.34,33.07,7.33,0
17.74,1725,8.34,35.85,7.31,0
17.7,1719,8.34,41.35,7.31,0
17.69,1715,8.34,36.49,7.29,0
17.65,1711,8.34,36.3,7.29,0
17.62,1708,8.34,38.48,7.28,0
17.62,1706,8.34,36.47,7.27,0
17.61,1703,8.34,36.58,7.26,0
17.56,1697,8.34,36.09,7.27,0
17.51,1693,8.34,35.85,7.27,0
17.49,1689,8.33,36.03,7.27,0
17.47,1687,8.33,39.88,7.26,0
17.44,1683,8.33,36.98,7.28,0
17.44,1681,8.33,36.04,7.28,0
17.43,1679,8.33,36.44,7.28,0
17.43,1677,8.34,36.39,7.28,0
17.43,1676,8.34,34.42,7.29,0
17.43,1673,8.34,33.97,7.31,0
17.43,1670,8.34,37.52,7.33,0
17.43,1668,8.34,34.66,7.32,0
17.47,1662,8.34,33.78,7.37,0
17.48,1662,8.34,34.13,7.37,0
17.54,1661,8.34,33.06,7.38,0
17.58,1660,8.34,32.95,7.39,0
17.52,1663,8.34,32.33,7.36,0
17.64,1659,8.34,30.59,7.4,0
17.61,1663,8.34,30.01,7.38,0
17.7,1658,8.35,29.85,7.43,0
17.77,1655,8.35,29.93,7.47,0
17.88,1652,8.35,29.47,7.52,0
17.92,1653,8.35,29.19,7.53,0
18.6,1654,8.35,28.19,7.53,0
18.3,1654,8.36,27.54,7.56,0
18.29,1662,8.36,26.86,7.55,0
18.04,1663,8.36,26.54,7.56,0
17.88,1666,8.36,26.72,7.53,0
18.01,1670,8.36,24.58,7.57,0
18.19,1666,8.36,24,7.51,0
18.54,1669,8.37,24.12,7.67,0
18.25,1678,8.37,23.03,7.55,0
18.03,1673,8.37,22.57,7.57,0
18.42,1670,8.37,22.57,7.61,0
18.16,1667,8.37,22.43,7.73,0
18.33,1661,8.37,22.37,7.77,0
18.33,1668,8.37,21.39,7.75,0
18.32,1672,8.37,20.69,7.75,0
18.15,1685,8.37,20.35,7.75,0
18.35,1680,8.38,20.44,7.81,0
18.4,1675,8.38,19.39,7.81,0
18.23,1690,8.38,18.8,7.81,0
18.46,1688,8.38,18.85,7.82,0
18.44,1681,8.38,17.65,7.84,0
18.6,1684,8.38,17.98,7.86,0
18.67,1676,8.38,17.53,7.9,0
18.7,1675,8.38,16.61,7.9,0
18.61,1676,8.39,16.3,7.93,0
18.56,1679,8.39,15.98,7.91,0
18.51,1686,8.39,16,7.9,0
18.59,1680,8.39,15.55,7.94,0
18.57,1683,8.39,15.42,7.93,0
18.52,1695,8.39,14.26,7.92,0
18.62,1704,8.38,13.98,7.9,0
18.52,1734,8.38,14.56,7.84,0
18.69,1719,8.38,13.83,7.89,0
18.49,1722,8.38,13.09,7.89,0
18.42,1742,8.38,12.21,7.89,0
18.52,1734,8.38,11.97,7.89,0
