Temperature,Conductivity,PH,Turbidity,ODO,BGA
24.61,1994,8.32,17.39,7.78,1
24.6,1993,8.32,17.67,7.74,1
24.56,1995,8.32,22.18,7.72,1
24.54,1991,8.31,18.96,7.64,1
24.51,1990,8.31,20.41,7.66,0
24.51,1986,8.31,17.11,7.7,1
24.49,1982,8.31,27.7,7.67,1
24.49,1979,8.31,16.01,7.64,1
24.48,1977,8.31,17.81,7.66,1
24.47,1976,8.32,18.67,7.71,1
24.44,1970,8.32,18.2,7.7,1
24.46,1970,8.32,18.75,7.78,1
24.48,1986,8.33,20.33,7.9,1
24.51,1997,8.33,17.02,7.97,1
24.63,2007,8.34,18.58,8.14,1
24.67,2010,8.35,25.29,8.22,1
24.76,2028,8.36,23.58,8.48,1
24.76,2009,8.38,31.08,8.77,1
24.76,1994,8.37,19.62,8.65,1
24.75,1983,8.38,22.92,8.8,1
24.85,2008,8.39,15.55,9.01,1
24.87,2005,8.4,19.57,9.22,1
24.92,2006,8.42,23.09,9.54,1
25,2003,8.41,26.05,9.48,1
24.9,2002,8.41,28.74,9.4,1
25,2016,8.42,23.82,9.66,1
25.03,2014,8.42,23.78,9.69,1
25.09,2012,8.43,21.74,9.81,1
25.15,2012,8.44,17.38,10.15,1
25.24,2003,8.47,24.43,10.67,1
25.14,1994,8.47,26.86,10.64,1
25.06,1984,8.46,17.8,10.49,1
25.28,2000,8.48,23.08,10.96,1
25.2,2001,8.49,31.07,10.96,1
25.21,1972,8.5,33.4,11.32,1
25.21,1963,8.46,27.1,10.56,1
25.25,1964,8.45,22.56,10.25,1
25.11,1972,8.41,17.38,9.57,1
26.03,1982,8.4,17.38,9.53,1
25.31,1997,8.35,19.51,8.36,1
25.05,2004,8.32,22.81,7.75,1
25,2000,8.32,21.99,7.64,1
25,1999,8.32,24.67,7.51,1
24.98,1999,8.31,24.5,7.47,1
24.98,1999,8.31,25.52,7.42,1
24.96,1995,8.3,31.12,7.37,1
24.92,1988,8.3,23.85,7.28,1
24.9,1983,8.3,25.36,7.29,1
24.89,1981,8.3,25.2,7.28,1
24.85,1982,8.3,23.08,7.27,1
24.83,1983,8.3,25.33,7.23,1
24.83,1980,8.29,30.14,7.22,1
24.86,1982,8.3,25.43,7.27,1
24.85,1979,8.29,23.99,7.27,1
24.82,1975,8.3,26.98,7.24,1
24.79,1973,8.3,27.39,7.23,1
24.76,1970,8.29,28.27,7.18,1
24.71,1967,8.29,26.41,7.13,1
24.68,1965,8.29,27.94,7.1,1
24.62,1961,8.28,27.07,7.04,1
24.59,1962,8.28,28.85,7.03,1
24.58,1961,8.28,31.36,6.97,0
24.54,1959,8.27,29.74,6.93,0
24.48,1957,8.27,27.67,6.91,0
24.41,1954,8.27,27.49,6.85,0
24.38,1953,8.27,29.49,6.84,0
24.35,1953,8.26,27.02,6.81,0
24.33,1954,8.26,29.72,6.81,0
24.32,1955,8.26,27.78,6.8,1
24.29,1954,8.26,28.23,6.79,0
24.26,1955,8.26,27.91,6.78,0
24.23,1955,8.26,26.35,6.77,0
24.21,1955,8.26,26.39,6.75,0
24.18,1954,8.26,28.71,6.72,1
24.14,1954,8.26,25.85,6.71,1
24.1,1955,8.26,25.9,6.69,1
24.08,1956,8.26,24.72,6.68,0
24.08,1958,8.26,28.13,6.67,0
24.06,1960,8.26,29.21,6.66,0
24.06,1963,8.26,32.47,6.66,0
24.05,1966,8.26,27.81,6.64,1
24.04,1967,8.26,29.2,6.63,1
24.03,1971,8.26,27.83,6.65,1
24.03,1973,8.26,30.37,6.63,1
23.99,1973,8.26,30.98,6.63,1
23.99,1971,8.26,31.12,6.6,1
23.96,1969,8.26,31.87,6.58,1
23.93,1969,8.25,37.21,6.57,1
23.91,1970,8.25,29.84,6.57,1
23.92,1971,8.25,31.35,6.53,1
23.91,1972,8.25,30.04,6.53,1
23.89,1972,8.25,30.94,6.52,1
23.88,1974,8.25,29.66,6.5,1
23.89,1977,8.25,30.19,6.49,1
23.87,1978,8.24,29,6.48,1
23.82,1980,8.24,28.05,6.48,1
23.81,1982,8.24,29.39,6.45,1
23.8,1983,8.24,28.03,6.42,1
23.77,1990,8.25,29,6.44,1
23.76,1992,8.25,31.68,6.42,1
23.75,1993,8.25,30.63,6.4,1
23.75,1996,8.25,34.37,6.4,1
23.75,1995,8.25,29.21,6.36,1
23.72,1993,8.25,32.44,6.38,1
23.72,1990,8.25,42.05,6.37,1
23.71,1986,8.25,31.15,6.35,1
23.71,1987,8.25,27.83,6.4,1
23.71,1986,8.25,28.5,6.37,1
23.7,1987,8.25,29.69,6.41,1
23.71,1984,8.25,37.21,6.38,1
23.7,1980,8.24,31.55,6.36,1
